state,room_id,name,city,person_cap,bedrooms,bathrooms,amenities,reviews,prop_type,guests,star,avg_rating,min_nights,max_nights,price
Alabama,21645687,★★★ Charming Cottage | Close to Everything ★★★,Prattville,7,4,2.0,,225,Entire house,7 guests,5.0,4.97,1,21,129.0
Alabama,20175073,Private Bed/bath Pool Around the corner from Beach,Fort Morgan near Gulf Shores,2,1,1.0,,81,Entire guest suite,2 guests,5.0,4.84,2,5,70.0
Alabama,12211331,Affordable Beach Bungalow!,Gulf Shores,6,3,1.0,,152,Entire villa,6 guests,5.0,4.94,1,1125,100.0
Alabama,10825731,Historic Mobile condo close to downtown.,Mobile,2,1,1.0,,193,Entire condominium,2 guests,5.0,4.88,2,1125,47.0
Alabama,1211466,"Beachfront WOW  CORNER view, prime locale, 5 *!!!",Orange Beach,8,5,2.0,,67,Entire apartment,8 guests,5.0,4.9,3,1125,149.0
Alabama,30684655,"Downtown Art &amp; Eclectic ""C""",Mobile,2,1,1.0,,107,Entire apartment,2 guests,5.0,4.99,1,60,95.0
Alabama,19487696,Historic Lowe Mill Home,Huntsville,4,1,1.0,,161,Entire house,4 guests,5.0,4.97,1,1125,68.0
Alabama,13409497,In the Heart of Baldwin County - Pet Friendly!!!,Foley,4,2,1.0,,80,Entire bungalow,4 guests,5.0,4.76,2,1125,45.0
Alabama,22231665,Beachfront - Views - Private Balcony - Amenities,Gulf Shores,4,3,1.0,,91,Entire condominium,4 guests,5.0,4.79,3,1000,64.0
Alabama,16860486,GULF VILLAGE BEACH FRONT COMPLEX,Gulf Shores,6,5,2.0,,85,Entire condominium,6 guests,5.0,4.76,2,1125,100.0
Alabama,16067914,Beachfront - Gulf Views!!!Adorable Corner Unit!!!,Gulf Shores,6,4,1.0,,149,Entire condominium,6 guests,5.0,4.86,1,120,79.0
Alabama,13150078,2BR/2BA Condo with great Gulf views!,Gulf Shores,6,3,2.0,,146,Entire condominium,6 guests,5.0,4.92,2,1125,80.0
Alabama,10706454,Classic Studio in Historic Downtown Loft District,Birmingham,2,1,1.0,,266,Entire loft,2 guests,5.0,4.98,1,120,89.0
Alabama,23232365,Beachview #228 **Across from THE HANGOUT**,Gulf Shores,3,2,1.0,,58,Entire condominium,3 guests,4.5,4.66,3,1125,50.0
Alabama,7922569,The Bunkhouse,Fairhope,3,3,1.5,,195,Farm stay,3 guests,4.5,4.66,1,365,95.0
Alabama,20830565,Unbelievable View @ Vulcan House by UAB,Birmingham,4,2,1.5,,292,Private room in house,4 guests,5.0,4.84,1,14,35.0
Alabama,14835599,Tranquility Base Cottage,Fairhope,4,2,1.0,,119,Entire house,4 guests,5.0,4.92,2,1125,85.0
Alabama,18909750,Monte Sano Mtn Privacy Convenient in Huntsville,Huntsville,3,2,1.0,,233,Entire guest suite,3 guests,5.0,4.93,1,180,59.0
Alabama,31126682,Mom's House (Southern Comfort),Mobile,2,1,1.0,,102,Entire apartment,2 guests,5.0,4.92,1,28,47.0
Alabama,13045988,Cute &amp; Comfy 2 BR Just Steps Away from the Beach!,Gulf Shores,6,3,1.0,,166,Entire condominium,6 guests,5.0,4.87,2,90,47.0
Alabama,25048446,On the Beach in Gulf Shores,Gulf Shores,9,6,2.0,,34,Entire condominium,9 guests,4.5,4.62,3,1125,120.0
Alabama,24523189,Beachfront - High Rise -Private Balcony -Amenities,Gulf Shores,5,3,1.0,,78,Entire condominium,5 guests,5.0,4.83,3,1125,58.0
